,Data,,Label,Training Error
0,4.838052687,4.523893421,+1,0.0135
1,4.71238898,1.759291886,+1,
2,4.90088454,5.215043805,+1,
3,4.146902303,2.387610417,+1,
4,1.947787445,0.81681409,+1,
5,2.513274123,4.08407045,+1,
6,0,2.890265241,+1,
7,0.628318531,2.136283004,+1,
8,4.71238898,1.63362818,+1,
9,5.277875658,0.628318531,+1,
10,2.324778564,4.021238597,+1,
11,2.010619298,3.518583772,+1,
12,3.455751919,0.062831853,+1,
13,4.272566009,5.089380099,+1,
14,1.696460033,1.319468915,+1,
15,0.062831853,3.707079331,+1,
16,5.654866776,3.518583772,+1,
17,0.376991118,0.314159265,+1,
18,5.843362336,3.89557489,+1,
19,3.581415625,5.277875658,+1,
20,5.089380099,3.392920066,-1,
21,3.141592654,1.193805208,-1,
22,4.398229715,2.010619298,-1,
23,5.277875658,5.71769863,-1,
24,5.654866776,2.261946711,-1,
25,1.068141502,0.314159265,-1,
26,5.780530483,4.461061568,-1,
27,0.439822972,1.319468915,-1,
28,4.209734156,1.068141502,-1,
29,6.220353454,4.649557127,-1,
30,2.387610417,5.089380099,-1,
31,3.078760801,4.775220833,-1,
32,4.335397862,4.586725274,-1,
33,2.953097094,2.387610417,-1,
34,1.63362818,0.062831853,-1,
35,2.387610417,3.330088213,-1,
36,6.157521601,4.272566009,-1,
37,5.906194189,4.649557127,-1,
38,5.026548246,4.146902303,-1,
39,0.565486678,0.942477796,-1,
