,Data,,Label,Training Error
0,0.188495559,0.062831853,+1,0.0083
1,1.759291886,5.906194189,+1,
2,2.827433388,2.953097094,+1,
3,2.010619298,4.586725274,+1,
4,3.330088213,0.314159265,+1,
5,4.586725274,4.586725274,+1,
6,0.691150384,1.507964474,+1,
7,1.193805208,2.827433388,+1,
8,2.261946711,4.461061568,+1,
9,4.461061568,3.26725636,+1,
10,1.947787445,4.963716393,+1,
11,4.586725274,3.581415625,+1,
12,1.570796327,4.586725274,+1,
13,3.89557489,4.838052687,+1,
14,4.272566009,3.455751919,+1,
15,1.947787445,6.157521601,+1,
16,4.963716393,1.884955592,+1,
17,4.649557127,1.696460033,+1,
18,1.884955592,5.969026042,+1,
19,0.81681409,2.953097094,+1,
20,3.392920066,3.644247478,-1,
21,5.026548246,3.832743037,-1,
22,4.775220833,5.906194189,-1,
23,2.576105976,2.45044227,-1,
24,2.638937829,1.696460033,-1,
25,5.026548246,5.592034923,-1,
26,1.382300768,0.439822972,-1,
27,1.193805208,4.649557127,-1,
28,2.136283004,3.958406744,-1,
29,5.71769863,4.649557127,-1,
30,2.199114858,4.021238597,-1,
31,1.696460033,3.769911184,-1,
32,2.890265241,4.021238597,-1,
33,4.146902303,2.199114858,-1,
34,3.644247478,1.319468915,-1,
35,5.780530483,0.565486678,-1,
36,3.141592654,5.089380099,-1,
37,0.314159265,1.947787445,-1,
38,5.654866776,4.775220833,-1,
39,2.073451151,0.942477796,-1,
