,Data,,Label,Training Error
0,5.843362336,2.764601535,+1,0.0141
1,4.209734156,5.654866776,+1,
2,5.654866776,2.701769682,+1,
3,1.759291886,2.827433388,+1,
4,3.958406744,2.387610417,+1,
5,5.592034923,2.827433388,+1,
6,3.832743037,4.461061568,+1,
7,2.324778564,2.261946711,+1,
8,5.843362336,4.209734156,+1,
9,0.879645943,3.89557489,+1,
10,5.843362336,2.073451151,+1,
11,2.45044227,2.827433388,+1,
12,4.209734156,3.958406744,+1,
13,4.021238597,4.461061568,+1,
14,4.775220833,3.392920066,+1,
15,5.52920307,6.157521601,+1,
16,5.466371217,3.581415625,+1,
17,0.879645943,0.81681409,+1,
18,4.021238597,3.958406744,+1,
19,1.947787445,1.068141502,+1,
20,0.376991118,1.570796327,-1,
21,5.906194189,1.256637061,-1,
22,0.439822972,0,-1,
23,5.592034923,4.586725274,-1,
24,1.822123739,2.324778564,-1,
25,1.884955592,2.387610417,-1,
26,1.319468915,0.062831853,-1,
27,1.130973355,5.277875658,-1,
28,5.71769863,4.649557127,-1,
29,4.649557127,2.45044227,-1,
30,1.696460033,5.906194189,-1,
31,3.330088213,0.753982237,-1,
32,0.502654825,1.570796327,-1,
33,4.398229715,4.963716393,-1,
34,0.251327412,2.010619298,-1,
35,1.193805208,2.136283004,-1,
36,1.822123739,3.330088213,-1,
37,5.277875658,1.822123739,-1,
38,0.439822972,5.152211952,-1,
39,4.649557127,2.387610417,-1,
