,Data,,Label,Training Error
0,2.387610417,0.376991118,+1,0.0103
1,1.63362818,2.827433388,+1,
2,2.387610417,4.146902303,+1,
3,3.392920066,1.382300768,+1,
4,2.073451151,0.628318531,+1,
5,0,1.445132621,+1,
6,1.256637061,1.256637061,+1,
7,4.461061568,6.094689748,+1,
8,5.906194189,3.707079331,+1,
9,2.827433388,2.073451151,+1,
10,3.204424507,1.947787445,+1,
11,4.398229715,0.376991118,+1,
12,3.392920066,2.010619298,+1,
13,1.696460033,0.062831853,+1,
14,5.654866776,4.272566009,+1,
15,5.71769863,2.261946711,+1,
16,4.021238597,5.843362336,+1,
17,5.969026042,2.827433388,+1,
18,0.062831853,4.398229715,+1,
19,5.71769863,2.073451151,+1,
20,2.261946711,2.953097094,-1,
21,4.272566009,4.586725274,-1,
22,2.827433388,3.015928947,-1,
23,0.753982237,3.204424507,-1,
24,0.314159265,1.63362818,-1,
25,0.628318531,3.26725636,-1,
26,3.141592654,2.890265241,-1,
27,3.518583772,3.141592654,-1,
28,4.838052687,4.272566009,-1,
29,2.576105976,2.890265241,-1,
30,4.08407045,4.523893421,-1,
31,1.130973355,3.141592654,-1,
32,1.696460033,4.021238597,-1,
33,4.90088454,2.827433388,-1,
34,4.209734156,1.696460033,-1,
35,3.392920066,0.062831853,-1,
36,3.078760801,2.638937829,-1,
37,3.330088213,2.890265241,-1,
38,3.832743037,4.90088454,-1,
39,1.256637061,1.759291886,-1,
