,Data,,Label,Training Error
0,1.759291886,5.52920307,+1,0.0249
1,2.387610417,5.780530483,+1,
2,4.90088454,2.261946711,+1,
3,4.649557127,0.879645943,+1,
4,1.130973355,3.015928947,+1,
5,2.701769682,2.136283004,+1,
6,5.780530483,1.507964474,+1,
7,5.780530483,0.81681409,+1,
8,1.256637061,3.707079331,+1,
9,2.953097094,4.146902303,+1,
10,1.382300768,5.969026042,+1,
11,3.330088213,5.654866776,+1,
12,0.062831853,2.010619298,+1,
13,3.141592654,4.08407045,+1,
14,2.45044227,1.068141502,+1,
15,1.570796327,2.953097094,+1,
16,3.89557489,1.507964474,+1,
17,2.324778564,5.403539364,+1,
18,1.759291886,5.403539364,+1,
19,0.188495559,1.005309649,+1,
20,1.947787445,5.215043805,-1,
21,5.215043805,1.319468915,-1,
22,3.769911184,0.251327412,-1,
23,5.340707511,1.507964474,-1,
24,5.403539364,1.63362818,-1,
25,1.382300768,1.382300768,-1,
26,3.392920066,0.439822972,-1,
27,5.152211952,3.644247478,-1,
28,5.466371217,4.586725274,-1,
29,5.152211952,5.089380099,-1,
30,0.314159265,6.220353454,-1,
31,3.518583772,2.010619298,-1,
32,1.130973355,4.523893421,-1,
33,0.691150384,2.136283004,-1,
34,5.089380099,3.707079331,-1,
35,5.403539364,1.507964474,-1,
36,0.628318531,5.969026042,-1,
37,0.376991118,6.094689748,-1,
38,2.387610417,3.707079331,-1,
39,4.649557127,5.592034923,-1,
