,Data,,Label,Training Error
0,5.340707511,3.89557489,+1,0.0317
1,5.340707511,2.953097094,+1,
2,6.094689748,1.947787445,+1,
3,3.015928947,2.261946711,+1,
4,5.152211952,4.649557127,+1,
5,3.518583772,2.701769682,+1,
6,1.445132621,0.565486678,+1,
7,0.691150384,0.753982237,+1,
8,1.759291886,5.71769863,+1,
9,4.461061568,1.445132621,+1,
10,3.204424507,5.466371217,+1,
11,6.094689748,5.71769863,+1,
12,5.906194189,3.518583772,+1,
13,3.141592654,2.199114858,+1,
14,5.843362336,0.314159265,+1,
15,3.89557489,0.565486678,+1,
16,2.513274123,0.251327412,+1,
17,6.094689748,4.146902303,+1,
18,0.062831853,3.958406744,+1,
19,2.638937829,4.838052687,+1,
20,4.146902303,2.073451151,-1,
21,0.251327412,3.204424507,-1,
22,0.439822972,3.518583772,-1,
23,0,0.251327412,-1,
24,3.015928947,3.26725636,-1,
25,1.193805208,0.062831853,-1,
26,2.324778564,3.958406744,-1,
27,4.209734156,3.015928947,-1,
28,4.146902303,6.220353454,-1,
29,4.963716393,5.215043805,-1,
30,4.209734156,0.062831853,-1,
31,2.827433388,1.382300768,-1,
32,2.073451151,1.193805208,-1,
33,2.638937829,1.696460033,-1,
34,5.71769863,3.958406744,-1,
35,5.466371217,4.649557127,-1,
36,4.146902303,3.078760801,-1,
37,2.764601535,2.953097094,-1,
38,5.969026042,4.586725274,-1,
39,5.466371217,3.204424507,-1,
