,Data,,Label,Training Error
0,4.523893421,4.461061568,+1,0.033
1,1.696460033,0.062831853,+1,
2,4.71238898,4.461061568,+1,
3,4.775220833,4.523893421,+1,
4,1.256637061,5.403539364,+1,
5,0.502654825,5.277875658,+1,
6,4.586725274,4.649557127,+1,
7,3.518583772,5.403539364,+1,
8,4.649557127,2.638937829,+1,
9,6.220353454,4.90088454,+1,
10,4.71238898,2.513274123,+1,
11,1.570796327,0.188495559,+1,
12,6.157521601,1.884955592,+1,
13,2.953097094,1.63362818,+1,
14,4.021238597,2.073451151,+1,
15,4.71238898,6.094689748,+1,
16,5.089380099,5.969026042,+1,
17,6.094689748,0.125663706,+1,
18,1.445132621,1.696460033,+1,
19,4.209734156,2.073451151,+1,
20,0.628318531,3.707079331,-1,
21,0.125663706,4.586725274,-1,
22,2.261946711,1.193805208,-1,
23,0.439822972,3.644247478,-1,
24,4.398229715,0.628318531,-1,
25,4.398229715,1.005309649,-1,
26,1.884955592,2.261946711,-1,
27,0.439822972,1.193805208,-1,
28,2.199114858,2.827433388,-1,
29,2.136283004,2.764601535,-1,
30,2.576105976,1.884955592,-1,
31,4.71238898,3.26725636,-1,
32,0.502654825,0.753982237,-1,
33,5.592034923,2.513274123,-1,
34,3.769911184,2.324778564,-1,
35,2.45044227,5.215043805,-1,
36,1.822123739,5.466371217,-1,
37,1.130973355,3.455751919,-1,
38,5.592034923,2.136283004,-1,
39,1.507964474,4.461061568,-1,
