,Data,,Label,Test Result,Testing Success
0,5.026548246,5.592034923,+1,1,0.97625
1,2.324778564,1.319468915,+1,1,
2,3.078760801,2.387610417,+1,1,
3,1.005309649,3.958406744,+1,1,
4,1.947787445,0.251327412,+1,1,
5,0.125663706,3.89557489,+1,1,
6,4.209734156,3.518583772,+1,1,
7,0.942477796,0.81681409,+1,1,
8,3.832743037,3.832743037,+1,1,
9,2.764601535,3.015928947,+1,1,
10,2.701769682,2.764601535,+1,1,
11,3.518583772,4.838052687,+1,1,
12,2.827433388,3.078760801,+1,1,
13,4.523893421,5.592034923,+1,1,
14,5.654866776,5.466371217,+1,1,
15,3.330088213,5.780530483,+1,1,
16,5.71769863,0.753982237,+1,1,
17,0.062831853,4.90088454,+1,1,
18,0.81681409,2.324778564,+1,1,
19,2.010619298,0.062831853,+1,1,
20,2.387610417,0.753982237,+1,1,
21,1.005309649,0.439822972,+1,1,
22,4.838052687,2.513274123,+1,1,
23,4.08407045,1.445132621,+1,1,
24,1.193805208,3.707079331,+1,1,
25,0.125663706,5.654866776,+1,1,
26,5.466371217,5.466371217,+1,1,
27,5.152211952,4.08407045,+1,1,
28,4.08407045,1.256637061,+1,1,
29,4.209734156,1.068141502,+1,1,
30,1.319468915,3.644247478,+1,1,
31,0.753982237,2.387610417,+1,1,
32,3.832743037,3.769911184,+1,1,
33,4.209734156,3.078760801,+1,1,
34,0.251327412,4.649557127,+1,1,
35,3.015928947,1.068141502,+1,-1,
36,5.71769863,4.963716393,+1,1,
37,0.125663706,0.691150384,+1,1,
38,4.021238597,1.193805208,+1,1,
39,3.078760801,2.638937829,+1,1,
40,4.08407045,1.822123739,+1,1,
41,4.08407045,5.089380099,+1,1,
42,1.130973355,0.125663706,+1,1,
43,3.392920066,3.89557489,+1,1,
44,2.010619298,6.094689748,+1,1,
45,1.696460033,3.958406744,+1,1,
46,2.764601535,2.953097094,+1,1,
47,3.204424507,5.52920307,+1,1,
48,1.005309649,5.969026042,+1,1,
49,3.89557489,4.523893421,+1,1,
50,0.439822972,5.340707511,+1,1,
51,5.71769863,5.215043805,+1,1,
52,2.010619298,4.146902303,+1,1,
53,6.157521601,4.838052687,+1,1,
54,3.392920066,1.445132621,+1,1,
55,1.947787445,0.188495559,+1,1,
56,0.314159265,1.005309649,+1,1,
57,1.822123739,6.157521601,+1,1,
58,5.340707511,6.157521601,+1,1,
59,1.130973355,4.146902303,+1,1,
60,1.256637061,2.136283004,+1,1,
61,2.010619298,5.592034923,+1,1,
62,0.125663706,5.654866776,+1,1,
63,0.81681409,1.382300768,+1,1,
64,3.89557489,1.759291886,+1,1,
65,3.26725636,5.592034923,+1,1,
66,1.005309649,2.261946711,+1,1,
67,2.010619298,0.376991118,+1,1,
68,1.696460033,0.691150384,+1,1,
69,5.654866776,5.52920307,+1,1,
70,2.953097094,3.958406744,+1,1,
71,0.125663706,1.759291886,+1,1,
72,1.759291886,3.89557489,+1,1,
73,3.078760801,4.586725274,+1,1,
74,0.942477796,0.879645943,+1,1,
75,5.089380099,2.576105976,+1,1,
76,4.335397862,1.947787445,+1,1,
77,2.890265241,4.209734156,+1,1,
78,0.314159265,4.523893421,+1,1,
79,3.455751919,5.152211952,+1,1,
80,2.513274123,5.654866776,+1,1,
81,1.63362818,3.518583772,+1,1,
82,4.649557127,4.209734156,+1,1,
83,4.335397862,2.890265241,+1,1,
84,4.272566009,1.319468915,+1,1,
85,4.08407045,1.382300768,+1,1,
86,1.256637061,4.272566009,+1,1,
87,3.141592654,2.827433388,+1,1,
88,4.08407045,3.26725636,+1,1,
89,6.157521601,0.439822972,+1,1,
90,5.026548246,6.031857895,+1,1,
91,4.021238597,5.026548246,+1,1,
92,3.392920066,5.592034923,+1,1,
93,3.455751919,3.89557489,+1,1,
94,3.958406744,4.963716393,+1,1,
95,3.392920066,4.523893421,+1,-1,
96,2.576105976,5.52920307,+1,1,
97,5.152211952,0.314159265,+1,1,
98,5.780530483,1.570796327,+1,1,
99,4.90088454,5.71769863,+1,1,
100,3.078760801,1.193805208,+1,1,
101,0.251327412,4.649557127,+1,1,
102,5.843362336,3.078760801,+1,1,
103,5.52920307,0.691150384,+1,1,
104,0.879645943,0.502654825,+1,1,
105,5.026548246,5.654866776,+1,1,
106,6.220353454,1.63362818,+1,1,
107,4.146902303,0.628318531,+1,1,
108,1.319468915,2.136283004,+1,1,
109,4.586725274,2.199114858,+1,1,
110,3.958406744,5.340707511,+1,1,
111,5.340707511,2.764601535,+1,1,
112,2.827433388,2.953097094,+1,1,
113,4.71238898,0.628318531,+1,1,
114,3.644247478,3.769911184,+1,1,
115,1.319468915,3.330088213,+1,1,
116,3.581415625,4.775220833,+1,1,
117,0.062831853,4.838052687,+1,1,
118,4.523893421,0.502654825,+1,1,
119,1.319468915,3.958406744,+1,1,
120,5.340707511,5.466371217,+1,1,
121,2.324778564,6.157521601,+1,1,
122,4.963716393,5.592034923,+1,1,
123,2.073451151,4.335397862,+1,1,
124,1.256637061,0,+1,1,
125,4.209734156,1.507964474,+1,1,
126,1.382300768,3.455751919,+1,1,
127,5.026548246,0.753982237,+1,1,
128,2.010619298,0.314159265,+1,1,
129,6.157521601,1.696460033,+1,1,
130,5.843362336,2.261946711,+1,1,
131,2.199114858,3.015928947,+1,1,
132,0.628318531,3.89557489,+1,1,
133,2.387610417,6.220353454,+1,1,
134,1.005309649,3.26725636,+1,1,
135,5.152211952,5.654866776,+1,1,
136,1.068141502,2.387610417,+1,1,
137,2.576105976,2.136283004,+1,1,
138,5.340707511,6.157521601,+1,1,
139,5.654866776,3.330088213,+1,1,
140,0.628318531,1.445132621,+1,1,
141,5.466371217,6.157521601,+1,1,
142,1.947787445,0.125663706,+1,1,
143,5.592034923,5.71769863,+1,1,
144,1.193805208,3.26725636,+1,1,
145,4.272566009,0.691150384,+1,1,
146,3.204424507,2.701769682,+1,1,
147,5.403539364,1.068141502,+1,1,
148,3.581415625,1.445132621,+1,1,
149,2.261946711,2.513274123,+1,1,
150,0.565486678,1.319468915,+1,1,
151,3.330088213,4.209734156,+1,1,
152,1.947787445,5.592034923,+1,1,
153,2.827433388,2.324778564,+1,1,
154,5.780530483,0.753982237,+1,1,
155,0.439822972,4.838052687,+1,1,
156,3.078760801,1.068141502,+1,1,
157,0.188495559,0.879645943,+1,1,
158,5.52920307,5.654866776,+1,1,
159,5.026548246,2.890265241,+1,1,
160,3.455751919,5.152211952,+1,1,
161,4.08407045,0.439822972,+1,1,
162,3.078760801,0.628318531,+1,1,
163,2.073451151,2.827433388,+1,1,
164,0.691150384,1.130973355,+1,1,
165,5.089380099,5.71769863,+1,1,
166,5.52920307,5.277875658,+1,1,
167,4.209734156,6.157521601,+1,1,
168,1.884955592,6.094689748,+1,1,
169,1.193805208,5.592034923,+1,1,
170,2.387610417,1.068141502,+1,1,
171,3.832743037,1.507964474,+1,1,
172,3.392920066,3.89557489,+1,1,
173,3.015928947,2.387610417,+1,1,
174,5.71769863,0.81681409,+1,1,
175,0.251327412,1.319468915,+1,1,
176,4.08407045,4.209734156,+1,1,
177,2.324778564,1.068141502,+1,1,
178,1.068141502,3.141592654,+1,1,
179,3.644247478,4.398229715,+1,1,
180,5.592034923,5.152211952,+1,1,
181,3.518583772,4.71238898,+1,1,
182,4.649557127,3.455751919,+1,1,
183,1.507964474,2.261946711,+1,1,
184,3.141592654,4.586725274,+1,1,
185,4.08407045,0.81681409,+1,1,
186,1.256637061,5.52920307,+1,1,
187,2.638937829,2.827433388,+1,1,
188,2.199114858,6.031857895,+1,1,
189,4.649557127,6.094689748,+1,1,
190,2.576105976,2.701769682,+1,1,
191,0.062831853,1.256637061,+1,1,
192,2.638937829,2.199114858,+1,1,
193,1.382300768,3.518583772,+1,1,
194,0.691150384,1.319468915,+1,1,
195,4.838052687,5.780530483,+1,1,
196,0.565486678,4.08407045,+1,1,
197,0.81681409,3.204424507,+1,1,
198,0.188495559,4.021238597,+1,1,
199,0.188495559,1.884955592,+1,1,
200,6.220353454,2.387610417,+1,1,
201,2.827433388,3.078760801,+1,1,
202,1.193805208,4.021238597,+1,1,
203,3.89557489,3.769911184,+1,1,
204,6.031857895,4.90088454,+1,1,
205,2.136283004,0.062831853,+1,1,
206,4.398229715,3.455751919,+1,1,
207,1.319468915,3.518583772,+1,1,
