,Data,,Label,Training Error
0,0.753982237,6.157521601,+1,0.0147
1,4.71238898,1.63362818,+1,
2,0.314159265,5.215043805,+1,
3,2.890265241,4.146902303,+1,
4,5.592034923,3.89557489,+1,
5,0,0.314159265,+1,
6,3.141592654,1.256637061,+1,
7,1.696460033,4.775220833,+1,
8,5.152211952,4.838052687,+1,
9,3.518583772,4.649557127,+1,
10,3.078760801,4.71238898,+1,
11,1.445132621,3.707079331,+1,
12,3.141592654,3.015928947,+1,
13,3.141592654,1.696460033,+1,
14,2.890265241,4.272566009,+1,
15,3.330088213,4.838052687,+1,
16,0.753982237,5.592034923,+1,
17,1.570796327,2.387610417,+1,
18,2.953097094,2.073451151,+1,
19,0.125663706,4.272566009,+1,
20,5.71769863,5.089380099,-1,
21,1.319468915,3.141592654,-1,
22,5.654866776,3.015928947,-1,
23,2.261946711,3.141592654,-1,
24,5.906194189,1.63362818,-1,
25,4.209734156,2.701769682,-1,
26,1.759291886,1.319468915,-1,
27,5.152211952,3.707079331,-1,
28,4.08407045,3.518583772,-1,
29,5.277875658,0.188495559,-1,
30,5.026548246,3.204424507,-1,
31,2.576105976,0.314159265,-1,
32,1.947787445,1.507964474,-1,
33,5.152211952,0.314159265,-1,
34,0.188495559,5.592034923,-1,
35,1.570796327,1.63362818,-1,
36,0.376991118,4.775220833,-1,
37,0.81681409,5.152211952,-1,
38,4.775220833,3.455751919,-1,
39,3.89557489,2.199114858,-1,
