,Data,,Label,Training Error
0,5.906194189,0.439822972,+1,0.1312
1,0.188495559,3.330088213,+1,
2,0.502654825,5.906194189,+1,
3,5.403539364,1.759291886,+1,
4,1.068141502,1.63362818,+1,
5,4.90088454,5.089380099,+1,
6,5.969026042,0.565486678,+1,
7,5.215043805,3.707079331,+1,
8,4.963716393,5.089380099,+1,
9,0.879645943,1.947787445,+1,
10,1.759291886,4.775220833,+1,
11,1.130973355,1.884955592,+1,
12,4.71238898,4.649557127,+1,
13,0.565486678,2.261946711,+1,
14,5.340707511,1.382300768,+1,
15,6.031857895,0.691150384,+1,
16,4.963716393,4.523893421,+1,
17,0.439822972,2.387610417,+1,
18,1.319468915,4.963716393,+1,
19,6.220353454,5.71769863,+1,
20,2.513274123,1.256637061,-1,
21,0.376991118,4.209734156,-1,
22,0.753982237,1.130973355,-1,
23,5.089380099,2.576105976,-1,
24,1.947787445,6.220353454,-1,
25,5.906194189,4.272566009,-1,
26,4.021238597,4.775220833,-1,
27,1.822123739,2.136283004,-1,
28,0.879645943,4.146902303,-1,
29,2.45044227,1.256637061,-1,
30,0.376991118,3.832743037,-1,
31,3.769911184,0.879645943,-1,
32,4.90088454,2.387610417,-1,
33,3.455751919,4.272566009,-1,
34,3.958406744,1.256637061,-1,
35,0.314159265,1.696460033,-1,
36,5.277875658,2.953097094,-1,
37,1.63362818,3.26725636,-1,
38,2.576105976,3.26725636,-1,
39,1.445132621,5.780530483,-1,
