,Data,,Label,Training Error
0,4.335397862,5.215043805,+1,0.0216
1,4.272566009,2.324778564,+1,
2,3.078760801,4.649557127,+1,
3,0.251327412,5.277875658,+1,
4,4.649557127,6.031857895,+1,
5,4.838052687,6.220353454,+1,
6,3.204424507,5.592034923,+1,
7,5.654866776,4.021238597,+1,
8,3.141592654,2.324778564,+1,
9,2.890265241,0.81681409,+1,
10,2.324778564,0.439822972,+1,
11,2.199114858,3.832743037,+1,
12,3.455751919,4.775220833,+1,
13,2.953097094,0.251327412,+1,
14,4.649557127,0.125663706,+1,
15,2.576105976,3.89557489,+1,
16,3.518583772,4.90088454,+1,
17,5.026548246,2.45044227,+1,
18,0.125663706,0.942477796,+1,
19,3.078760801,4.775220833,+1,
20,3.832743037,5.403539364,-1,
21,4.021238597,4.649557127,-1,
22,5.654866776,5.215043805,-1,
23,6.031857895,3.078760801,-1,
24,5.654866776,4.649557127,-1,
25,5.277875658,5.089380099,-1,
26,4.775220833,1.130973355,-1,
27,5.654866776,1.256637061,-1,
28,0.376991118,1.319468915,-1,
29,5.843362336,5.152211952,-1,
30,0.81681409,0.188495559,-1,
31,4.08407045,0.314159265,-1,
32,5.403539364,4.963716393,-1,
33,1.570796327,3.581415625,-1,
34,2.701769682,1.759291886,-1,
35,2.010619298,0.251327412,-1,
36,2.764601535,5.906194189,-1,
37,2.136283004,2.764601535,-1,
38,5.466371217,4.775220833,-1,
39,4.523893421,1.130973355,-1,
